Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Orange County Sheriff Department,CA,12,,258.0,0,9.0,33,216,1405.0,338,954.0,113.0,,,,,,,,,,orange county,"orange county,CA",05000US06059
Placer County Sheriff Department,CA,12,,278.0,0,24.0,27,227,1670.0,568,1069.0,33.0,,,,,,,,,,placer county,"placer county,CA",05000US06061
San Francisco Police Dept,CA,12,820363.0,5777.0,69,108.0,3484,2116,38898.0,5317,28242.0,5339.0,704.2,8.4,13.2,424.7,257.9,4741.6,648.1,3442.6,650.8,san francisco,"san francisco,CA",05000US06075
San Joaquin County Sheriff Department,CA,12,,810.0,12,27.0,155,616,4550.0,1771,2625.0,154.0,,,,,,,,,,san joaquin county,"san joaquin county,CA",05000US06077
Shasta County Sheriff Department,CA,12,,506.0,4,25.0,23,454,996.0,522,430.0,44.0,,,,,,,,,,shasta county,"shasta county,CA",05000US06089
Stanislaus County Sheriff Department,CA,12,,418.0,13,14.0,115,276,2337.0,1021,1252.0,64.0,,,,,,,,,,stanislaus county,"stanislaus county,CA",05000US06099
Sutter County Sheriff Department,CA,12,,71.0,1,4.0,2,64,786.0,257,487.0,42.0,,,,,,,,,,sutter county,"sutter county,CA",05000US06101
Tehama County Sheriff Department,CA,12,,189.0,3,5.0,7,174,303.0,133,169.0,1.0,,,,,,,,,,tehama county,"tehama county,CA",05000US06103
Tuolumne County Sheriff Department,CA,12,,85.0,0,12.0,11,62,776.0,386,386.0,4.0,,,,,,,,,,tuolumne county,"tuolumne county,CA",05000US06109
Walnut,CA,12,29658.0,37.0,0,2.0,10,25,382.0,141,209.0,32.0,124.8,0.0,6.7,33.7,84.3,1288.0,475.4,704.7,107.9,walnut,"walnut,CA",16000US0683346
Yuba County Sheriff Department,CA,12,,193.0,6,17.0,20,150,1307.0,429,873.0,5.0,,,,,,,,,,yuba county,"yuba county,CA",05000US06115
Adams County Sheriff Department,CO,12,,419.0,7,70.0,55,287,2346.0,521,1404.0,421.0,,,,,,,,,,adams county,"adams county,CO",05000US08001
Arapahoe County Sheriff Department,CO,12,,218.0,1,38.0,31,148,1293.0,358,818.0,117.0,,,,,,,,,,arapahoe county,"arapahoe county,CO",05000US08005
Denver Police Dept,CO,12,628545.0,3871.0,39,376.0,1165,2291,23343.0,5129,14544.0,3670.0,615.9,6.2,59.8,185.3,364.5,3713.8,816.0,2313.9,583.9,denver,"denver,CO",05000US08031
Douglas County Sheriff Department,CO,12,,139.0,0,28.0,5,106,1343.0,300,1007.0,36.0,,,,,,,,,,douglas county,"douglas county,CO",05000US08035
Eagle County Sheriff Department,CO,12,,26.0,1,6.0,1,18,344.0,73,267.0,4.0,,,,,,,,,,eagle county,"eagle county,CO",05000US08037
El Paso County,CO,12,,424.0,2,68.0,30,324,2442.0,821,1416.0,205.0,,,,,,,,,,el paso county,"el paso county,CO",05000US08041
Fremont County Sheriff Department,CO,12,,34.0,0,6.0,1,27,249.0,111,128.0,10.0,,,,,,,,,,fremont county,"fremont county,CO",05000US08043
Jefferson County Sheriff Department,CO,12,,148.0,1,22.0,11,114,2666.0,471,2083.0,112.0,,,,,,,,,,jefferson county,"jefferson county,CO",05000US08059
Larimer County Sheriff Department,CO,12,,150.0,1,14.0,9,126,1005.0,208,740.0,57.0,,,,,,,,,,larimer county,"larimer county,CO",05000US08069
