Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Mesa Police Dept,AZ,12,451391.0,1804.0,14,172.0,469,1149,14140.0,2681,10572.0,887.0,399.7,3.1,38.1,103.9,254.5,3132.5,593.9,2342.1,196.5,mesa,"mesa,AZ",04000US04
Mohave County Sheriff Department,AZ,12,,125.0,5,12.0,16,92,2288.0,790,1343.0,155.0,,,,,,,,,,mohave county,"mohave county,AZ",05000US04015
Navajo County Sheriff Department,AZ,12,,72.0,0,5.0,2,65,582.0,325,217.0,40.0,,,,,,,,,,navajo county,"navajo county,AZ",05000US04017
Nogales Police Dept,AZ,12,21177.0,45.0,1,0.0,10,34,497.0,75,375.0,47.0,212.5,4.7,0.0,47.2,160.6,2346.9,354.2,1770.8,221.9,nogales,"nogales,AZ",04000US04
Oro Valley Police Dept,AZ,12,41786.0,21.0,1,4.0,3,13,679.0,95,553.0,31.0,50.3,2.4,9.6,7.2,31.1,1624.9,227.3,1323.4,74.2,oro valley,"oro valley,AZ",04000US04
Paradise Valley Police Dept,AZ,12,13177.0,9.0,2,3.0,0,4,256.0,129,119.0,8.0,68.3,15.2,22.8,0.0,30.4,1942.8,979.0,903.1,60.7,paradise valley,"paradise valley,AZ",04000US04
Payson Police Dept,AZ,12,15337.0,48.0,1,0.0,7,40,421.0,134,270.0,17.0,313.0,6.5,0.0,45.6,260.8,2745.0,873.7,1760.4,110.8,payson,"payson,AZ",04000US04
Peoria Police Dept,AZ,12,158347.0,296.0,9,24.0,77,186,4673.0,929,3478.0,266.0,186.9,5.7,15.2,48.6,117.5,2951.1,586.7,2196.4,168.0,peoria,"peoria,AZ",04000US04
Phoenix Police Dept,AZ,12,1485509.0,9458.0,123,556.0,3516,5263,60777.0,17912,35678.0,7187.0,636.7,8.3,37.4,236.7,354.3,4091.3,1205.8,2401.7,483.8,phoenix,"phoenix,AZ",04000US04
Pima County Sheriff Department,AZ,12,,661.0,13,94.0,160,394,11662.0,2771,8054.0,837.0,,,,,,,,,,pima county,"pima county,AZ",05000US04019
